RADDOSE Image Number, DWD Angle, DWD, Vol, 1A RDE, 2A RDE, 3A RDE, 4A RDE, max res RDE
26.0,0.0,0.46612398657972215,0.9955,0.87773396009376,0.9606559749150297,0.9800545872670282,0.9877217978751903,0.9606559749150297
27.0,0.0,0.4842954240038611,0.9955,0.8732828953743191,0.9591539343364323,0.979285141336587,0.9872462080127751,0.9591539343364323
28.0,0.0,0.5022309227415591,0.9955,0.8689117579753742,0.957673699314008,0.9785262783070721,0.9867770177857746,0.957673699314008
29.0,0.0,0.5205700376701281,0.9955,0.8644648761092013,0.9561625155025616,0.9777509460548132,0.9862974995796179,0.9561625155025616
30.0,0.0,0.5380546118162125,0.9955,0.8602463977044384,0.9547239683293621,0.9770123137328097,0.9858405422881196,0.9547239683293621
31.0,0.0,0.5556966360797497,0.9955,0.856010795761915,0.953274660520784,0.9762675955132388,0.9853796846352304,0.953274660520784
32.0,0.0,0.5738882071936683,0.9955,0.851665093654675,0.9517825108908702,0.9755002738627465,0.9849046969341941,0.9517825108908702
33.0,0.0,0.5918340891761245,0.9955,0.8473997004664604,0.9503128022798302,0.9747439063304821,0.9844363485981974,0.9503128022798302
34.0,0.0,0.6093725198044693,0.9955,0.843251791800012,0.9488786553838845,0.974005278347498,0.9839788490383131,0.9488786553838845
35.0,0.0,0.6273772251560945,0.9955,0.8390147267019799,0.9474086317828418,0.973247595506593,0.9835094076151025,0.9474086317828418
36.0,0.0,0.64540420243893,0.9955,0.8347937496735134,0.9459390713723429,0.9724895659059616,0.9830396098690599,0.9459390713723429
37.0,0.0,0.6632160907625303,0.9955,0.8306439923305098,0.944489283897113,0.9717411606196733,0.9825756379275479,0.944489283897113
38.0,0.0,0.6809363786523247,0.9955,0.826536045518423,0.9430491570838806,0.9709971756458494,0.98211426933248,0.9430491570838806
39.0,0.0,0.6990359103840093,0.9955,0.8223611537009087,0.941580475974417,0.9702378561707472,0.981643250315831,0.941580475974417
40.0,0.0,0.7172648839838333,0.9955,0.8181777186103338,0.9401036032170519,0.9694737064652593,0.9811690910550097,0.9401036032170519
41.0,0.0,0.7352869303173978,0.9955,0.814062692996455,0.9386457724677949,0.9687188226796948,0.9807005393875824,0.9386457724677949
42.0,0.0,0.7531849342264655,0.9955,0.8099964739222874,0.9372002130976623,0.9679697163592653,0.980235434124569,0.9372002130976623
43.0,0.0,0.7713305207655647,0.9955,0.8058947404877693,0.935736929962242,0.9672108390242234,0.9797641202498631,0.935736929962242
44.0,0.0,0.7892400631622684,0.9955,0.801866731482467,0.9342949220294553,0.9664624168258231,0.9792991596045663,0.9342949220294553
45.0,0.0,0.8077951605599882,0.9955,0.7977147647071227,0.9328032802155627,0.9656876283249886,0.978817672034667,0.9328032802155627
46.0,0.0,0.8257357102692595,0.9955,0.7937207549998143,0.931363306312765,0.9649390915552984,0.9783523565083931,0.931363306312765
47.0,0.0,0.8436015592478517,0.9955,0.7897632482010549,0.9299315371995112,0.9641942481352582,0.9778891982841789,0.9299315371995112
48.0,0.0,0.861906222947251,0.9955,0.7857290028103894,0.9284668842363747,0.9634317064344219,0.9774148915354536,0.9284668842363747
49.0,0.0,0.8797304228825397,0.9955,0.781820453174082,0.927042892565335,0.9626897595818799,0.976953255542767,0.927042892565335
50.0,0.0,0.8975976906222212,0.9955,0.7779219727186866,0.9256176520662757,0.9619465934485864,0.9764907229428599,0.9256176520662757
51.0,0.0,0.9159925891573982,0.9955,0.7739286758732404,0.924152612540039,0.9611820805466583,0.9760147602643189,0.924152612540039
52.0,0.0,0.9338719208783083,0.9955,0.7700669479142069,0.9227308569883526,0.9604395774875835,0.9755523600611783,0.9227308569883526
53.0,0.0,0.9524842508730482,0.9955,0.7660673697467566,0.9212531373656655,0.9596672433828939,0.9750712355773747,0.9212531373656655
54.0,0.0,0.9704847978767079,0.9955,0.7622190179633983,0.9198262411974732,0.9589208865108025,0.9746061512563624,0.9198262411974732
55.0,0.0,0.9878345428102835,0.9955,0.7585280992683645,0.9184530255453507,0.9582020632171048,0.9741580918090642,0.9184530255453507
56.0,0.0,1.0056983657054048,0.9955,0.7547464915535088,0.9170412631855998,0.9574625040047867,0.973696971463498,0.9170412631855998
57.0,0.0,1.02343182579671,0.9955,0.7510111278414635,0.9156419496290149,0.9567289063646007,0.9732394320731435,0.9156419496290149
58.0,0.0,1.0415192298048914,0.9955,0.747220253082126,0.9142169065735124,0.9559812457867068,0.9727729820842315,0.9142169065735124
59.0,0.0,1.0600492166588942,0.9955,0.7433564613758934,0.9127592938475816,0.9552158965079143,0.9722953503044716,0.9127592938475816
60.0,0.0,1.0776923818482402,0.9955,0.739696155214269,0.9113736004932762,0.9544877453280906,0.9718407953278477,0.9113736004932762
61.0,0.0,1.0968663721078042,0.9955,0.7357386934020144,0.9098700614869615,0.9536970448355665,0.9713470414424736,0.9098700614869615
62.0,0.0,1.1139840221490493,0.9955,0.7322235468779026,0.908529867353035,0.9529916975038696,0.9709064528007298,0.908529867353035
63.0,0.0,1.1322779808260706,0.9955,0.7284854059373768,0.907099758461549,0.9522384560388141,0.9704358082401666,0.907099758461549
64.0,0.0,1.1504035047929793,0.9955,0.7248005039817011,0.9056850368956262,0.9514927369237355,0.9699697219645075,0.9056850368956262
65.0,0.0,1.1683035824574923,0.9955,0.721179728477748,0.9042900771502327,0.9507568662463274,0.9695096525923413,0.9042900771502327
